id_sv,tong_diem_xet_tuyen,nganh_tt
24782257747,23.79,BF2
74156259502,28.06,ET1
94946625579,21.82,CH2
18892133524,23.22,EM3
22285299078,25.5,ET1
81440267380,22.65,CH2
46233186043,20.54,CH2
51993776583,22.37,IT-E7
12335504872,22.96,CH2
31883830688,22.83,IT-E7
87708121088,21.78,IT-E7
70356196757,23.15,IT-E7
36411857179,22.55,BF2
97929871576,22.62,EM3
13312241010,21.73,IT-E7
47581393787,29.93,CH2
91037381670,22.11,IT-E7
70937863302,21.9,EM3
58694073387,24.89,ET1
19493245867,24.21,ET1
57219605480,26.68,CH2
67404026466,24.52,IT-E7
69873037859,27.5,BF2
67156473352,21.05,ET1
57169177742,25.96,ET1
89348753480,25.7,CH2
43259550632,28.1,ET1
30383193539,28.17,CH2
29114723188,24.55,CH2
32378617297,29.08,CH2
45250881186,24.86,BF2
41986146944,29.17,IT-E7
50745610867,24.38,BF2
83079018828,22.76,BF2
40603454208,24.89,BF2
96757505693,26.12,BF2
47864659981,21.65,ET1
47297046239,23.95,IT-E7
69838516384,20.95,ET1
55546231768,21.88,CH2
36058457176,26.13,IT-E7
38699342374,26.13,BF2
15547187889,20.58,IT-E7
69631585741,24.18,IT-E7
98725787623,25.51,BF2
72543065255,27.13,CH2
30411372187,22.72,ET1
35948256781,26.51,EM3
36899514737,29.69,CH2
81394461510,20.81,IT-E7
83281283087,27.84,CH2
15090882887,20.34,EM3
89066709328,22.59,IT-E7
25111989239,20.08,EM3
90150991496,24.43,IT-E7
73141073998,25.03,BF2
72269342155,21.84,EM3
66951950232,25.25,BF2
12314645230,29.15,BF2
50523761503,23.99,EM3
19804259428,22.6,IT-E7
54447697065,26.37,CH2
18623511665,27.31,CH2
67559772433,25.68,BF2
45426142215,22.58,BF2
96827320959,22.93,EM3
95693701379,20.55,IT-E7
41681407096,20.63,BF2
24755410342,20.1,BF2
70559395516,23.04,CH2
47926208065,26.67,ET1
41500594951,25.79,BF2
94735629014,29.16,CH2
48332002568,21.58,BF2
93576093552,28.7,CH2
10194382093,27.53,IT-E7
18453613492,23.8,IT-E7
46969497018,28.6,IT-E7
69406949274,21.0,BF2
56215344031,24.79,IT-E7
88987020451,25.82,ET1
18649483158,23.47,CH2
76325375346,24.3,EM3
36992364398,26.67,BF2
11166954622,26.77,BF2
81148334991,28.1,EM3
41622864132,24.48,BF2
60172398216,20.1,IT-E7
61279220562,24.27,IT-E7
77689522519,29.63,EM3
80731768519,20.15,CH2
64763452791,24.57,EM3
33656404360,28.08,EM3
28846173378,28.79,BF2
62626877317,22.09,IT-E7
74870135845,27.52,BF2
35870522346,24.42,CH2
75935181321,29.43,CH2
52576168268,22.63,EM3
51545975783,20.92,ET1
20781225182,22.96,CH2
50709195045,26.46,ET1
73587486361,28.64,BF2
56549386644,24.43,EM3
87898602407,21.52,IT-E7
98513119539,21.69,BF2
68896470569,29.42,EM3
19998606768,29.55,EM3
52520648822,27.57,IT-E7
33408340969,28.95,EM3
53772959107,24.89,EM3
17214644268,22.34,BF2
14308557112,26.42,ET1
55676310391,29.09,IT-E7
71067203662,23.56,CH2
98914355525,28.06,BF2
91380834800,21.45,IT-E7
78375797836,25.03,IT-E7
78737668899,20.35,BF2
47083174868,29.98,EM3
27497931882,27.37,CH2
54747766075,20.14,IT-E7
63413016390,20.23,ET1
46576575404,28.29,ET1
31361808243,26.86,BF2
33179998404,29.67,EM3
13428866167,28.66,EM3
78171249422,28.6,EM3
70610807300,24.58,CH2
53450981638,29.4,CH2
50752274713,28.07,ET1
39399538926,27.99,EM3
95295088837,20.21,EM3
58342919799,23.21,BF2
81241486004,28.45,CH2
12195403918,26.4,BF2
70417001034,28.11,IT-E7
25139216368,25.82,CH2
79144507930,25.58,IT-E7
73594730666,23.29,EM3
18213505740,26.85,EM3
14768851532,21.78,EM3
80974559460,25.2,BF2
70133912704,24.13,IT-E7
36144374286,26.74,ET1
48859414273,26.16,EM3
86673903999,29.31,CH2
17791133207,24.52,CH2
20849864221,25.29,IT-E7
30203651905,28.09,EM3
72806629750,26.3,CH2
61222741570,22.26,IT-E7
11302427802,27.27,IT-E7
26209552137,27.68,CH2
44492345955,26.66,CH2
57867026793,22.75,IT-E7
22896848995,24.25,ET1
55266457435,25.92,BF2
52016487036,22.08,ET1
34862499496,25.77,CH2
62901410074,26.68,IT-E7
81953880023,21.55,IT-E7
18033980204,26.25,CH2
37867652280,27.42,ET1
64559149520,27.52,ET1
18069808385,28.1,IT-E7
70817492064,27.1,EM3
54858797612,24.39,CH2
11073767148,28.93,ET1
99381125093,25.58,ET1
60478034441,26.21,IT-E7
87600009520,22.48,IT-E7
32073587178,20.35,CH2
21570985262,26.31,ET1
35245419791,29.2,CH2
99145607924,20.17,ET1
73547063596,29.47,EM3
23307688367,29.83,ET1
73402521215,22.29,CH2
86293265468,26.7,EM3
20066225789,28.53,EM3
18405005719,23.93,CH2
42574033922,29.69,IT-E7
15316233265,28.58,EM3
55528990473,28.4,BF2
27738771543,24.04,IT-E7
63783726162,24.43,EM3
13461961260,29.73,BF2
41843711537,22.5,EM3
77049343352,25.08,EM3
59681420006,20.52,BF2
75314263117,24.53,CH2
51345367752,25.62,EM3
26122674255,29.07,CH2
82483621831,29.81,ET1
54588452192,21.7,EM3
50767841591,26.1,CH2
76487320287,23.41,EM3
31917372257,22.83,BF2
77656924140,22.51,BF2
52331003476,22.51,CH2
58636115821,25.2,EM3
42913909278,26.98,EM3
77626749166,24.78,CH2
96583738413,25.36,EM3
21862673413,25.05,BF2
99915915715,29.51,BF2
98329766596,20.66,IT-E7
89753339533,29.62,IT-E7
35684323170,24.45,IT-E7
57625228302,27.73,CH2
31291901641,29.13,EM3
26070379094,23.92,IT-E7
21423766199,20.13,CH2
69132681326,27.73,BF2
73067942610,27.13,ET1
27603223794,24.53,BF2
54518695466,27.45,CH2
49396134746,26.53,ET1
11545829221,26.06,EM3
50902960132,24.94,ET1
46794860957,23.67,EM3
52061812982,24.89,EM3
15487432146,20.69,ET1
64982800694,29.33,BF2
58768970948,28.89,EM3
80848135481,25.91,CH2
28554122382,24.32,BF2
45262953879,26.52,CH2
13605166686,25.27,BF2
27425270426,27.88,IT-E7
57661946627,28.33,BF2
53297006189,27.15,BF2
84072594436,23.8,EM3
44953957500,26.43,EM3
29365434569,21.27,IT-E7
41417264479,22.5,IT-E7
36757412729,21.27,BF2
61215655020,20.1,BF2
91350264796,29.8,IT-E7
25702227050,29.9,EM3
94478910130,22.78,CH2
91879719706,22.46,BF2
15996661968,27.38,IT-E7
19701602916,22.83,BF2
23627385074,26.96,BF2
24839737043,22.88,ET1
61664774325,21.77,IT-E7
97064178833,26.31,ET1
64015765006,24.67,CH2
15596714300,28.49,IT-E7
25951201757,21.21,IT-E7
79446619738,28.5,BF2
40891557888,25.9,BF2
64580454810,23.79,EM3
55813385758,27.28,EM3
74081187714,27.15,IT-E7
10320441101,20.65,CH2
57113297289,21.65,ET1
91277219757,25.52,ET1
21444110189,22.19,ET1
54924922119,21.13,IT-E7
70450324485,28.81,CH2
75354063644,26.26,CH2
72973244942,29.63,BF2
34622666699,26.34,IT-E7
11677777507,29.49,BF2
44685513654,23.3,BF2
51677284968,28.23,CH2
57897349567,22.52,ET1
88359332151,28.09,IT-E7
68888061419,28.29,BF2
39937214200,27.85,CH2
23502272202,22.76,EM3
80033002544,27.46,EM3
90138116482,28.27,BF2
14992255576,21.74,IT-E7
36227641284,26.42,CH2
63353107110,29.33,IT-E7
42286689689,26.87,BF2
16119332582,27.65,CH2
82801090329,29.65,EM3
34053997391,27.74,ET1
13583830439,25.48,EM3
36569061583,27.21,EM3
56170470663,25.2,EM3
41364738646,24.53,EM3
92011315803,21.99,EM3
79970057463,22.36,IT-E7
48384385141,26.15,CH2
66181118703,20.85,ET1
24585853459,20.85,ET1
55125548942,22.04,BF2
26703400146,27.92,IT-E7
48667498374,22.0,IT-E7
87098847002,23.85,EM3
14441121967,24.37,IT-E7
98740208804,21.11,IT-E7
83992496481,21.4,BF2
47590644332,27.45,CH2
50736597607,20.02,CH2
12275604018,22.18,IT-E7
47565353964,26.53,ET1
97217958976,27.93,ET1
10068729252,23.91,EM3
47609053313,29.57,BF2
52932760315,22.16,ET1
57511643995,29.36,EM3
66795301155,22.13,EM3
64561589060,23.23,IT-E7
21489972667,29.28,EM3
42628151415,23.24,IT-E7
11464218539,22.59,EM3
10458559279,22.54,EM3
95097185731,20.53,BF2
91908291886,26.28,EM3
79762245270,23.95,IT-E7
65000311149,28.2,CH2
23590488486,22.79,BF2
45655656197,28.01,BF2
94985054423,29.31,ET1
84619434211,25.27,EM3
64441323869,24.14,IT-E7
37450074774,24.8,ET1
57073494993,21.07,BF2
40110994323,27.74,CH2
40441670289,24.28,EM3
24592704777,29.54,BF2
93844084997,29.98,ET1
51496304412,22.97,CH2
26437893990,21.35,IT-E7
74200581283,23.96,BF2
61818138026,21.8,CH2
74594822291,24.74,EM3
69871661309,20.7,CH2
93323103270,24.66,CH2
34759469444,22.69,BF2
42359849371,26.32,BF2
52013174852,22.28,IT-E7
34788181201,21.91,IT-E7
22444813371,26.44,BF2
86679806918,25.76,BF2
32443247965,21.17,ET1
33873935136,21.32,ET1
85582065891,26.46,ET1
93171702779,28.36,CH2
82938954645,27.71,IT-E7
42730605651,20.5,CH2
26690730453,20.75,IT-E7
37897529469,24.96,ET1
56138377012,29.6,CH2
84177110036,26.36,BF2
81134862237,22.07,IT-E7
76703663325,23.36,EM3
36025257070,20.5,BF2
49976468854,23.18,BF2
50211666768,20.91,CH2
45521309420,28.57,BF2
57713525195,23.6,CH2
83025136680,27.72,BF2
69650509036,20.04,IT-E7
53150602268,24.72,IT-E7
66211872164,25.27,ET1
59106328768,26.69,IT-E7
40743833773,25.08,CH2
19011096467,22.72,IT-E7
39249924345,24.66,CH2
80018802646,22.76,CH2
10711147506,26.26,CH2
74277912600,28.27,CH2
82297411075,20.48,BF2
89118378562,24.9,BF2
82163593424,23.13,IT-E7
22064992206,27.41,BF2
65540257094,26.99,BF2
20868887120,28.48,BF2
32392693205,27.07,CH2
21594866056,24.24,IT-E7
44838736532,29.08,EM3
69076237439,28.43,IT-E7
95722432857,20.49,CH2
53191727615,24.78,IT-E7
26039122451,25.99,BF2
10117413674,23.54,ET1
45495135330,27.16,ET1
95106814939,24.67,ET1
46596198177,26.08,ET1
97936043758,25.09,IT-E7
98508214654,23.84,CH2
70192397368,23.47,EM3
97835817340,25.2,ET1
65759515143,27.25,CH2
26766294422,22.97,EM3
44579089576,25.04,IT-E7
24170141086,26.59,BF2
10962726654,29.04,ET1
56529386827,28.47,EM3
60541782242,25.74,ET1
19203050577,29.03,EM3
44486276323,20.35,BF2
64156437791,27.96,BF2
22307865311,25.22,EM3
68923978052,27.0,ET1
93555636835,27.42,IT-E7
18501669675,24.72,ET1
15847691193,29.18,BF2
42697041474,21.64,ET1
72504529181,24.68,BF2
69299144033,26.8,EM3
47424615247,22.79,ET1
23755938027,29.71,ET1
44196994958,25.42,BF2
55748676254,27.68,ET1
73149242767,22.78,EM3
37019237622,25.73,BF2
39735106492,23.52,EM3
14851163558,21.76,CH2
44324302222,24.62,IT-E7
48767897561,27.09,IT-E7
83450149466,28.27,CH2
81306699182,20.62,EM3
63026773761,20.94,BF2
39606099346,26.42,IT-E7
58478386456,23.25,EM3
72322160707,24.66,CH2
21092391488,21.53,BF2
13887732199,25.08,BF2
22216435215,25.75,BF2
86434175428,24.62,CH2
75766845595,23.0,BF2
14838904554,28.76,ET1
33011946762,29.05,EM3
77500932164,26.08,IT-E7
39916517982,20.15,CH2
81445925697,23.03,CH2
25957262161,28.87,BF2
30553210987,20.97,CH2
47846113337,28.46,IT-E7
39159143651,23.91,BF2
48014390755,29.9,EM3
69062804267,22.68,BF2
91705570856,22.01,IT-E7
53456515651,26.61,BF2
16091447777,28.17,ET1
23629578878,24.99,EM3
93714627613,26.8,IT-E7
30766125628,25.76,BF2
63006457211,29.68,EM3
35952533621,22.05,CH2
73879332632,23.13,EM3
21148038043,20.67,ET1
14340873584,21.98,IT-E7
71869501270,23.09,CH2
23143296791,21.89,BF2
29456584049,24.51,BF2
12823939227,29.91,CH2
71827349180,27.32,CH2
75891684732,24.63,EM3
12778948847,28.2,ET1
34511620601,21.58,BF2
63806187706,20.01,BF2
35048206119,20.59,ET1
77838675750,25.23,IT-E7
55029412419,25.0,EM3
45013885262,28.59,CH2
77596107811,21.12,IT-E7
99300286277,22.45,BF2
81678345384,21.93,ET1
93974522578,26.49,ET1
22457629103,20.6,BF2
17631826785,20.0,CH2
98864013366,23.19,IT-E7
93331884189,21.34,ET1
19335186302,23.04,IT-E7
36880221998,27.69,IT-E7
82692005152,25.2,CH2
50891235072,22.61,BF2
16759966624,22.63,ET1
80048590718,25.38,EM3
45000614563,26.19,IT-E7
40991703967,28.14,BF2
15477339333,29.34,IT-E7
13218161422,24.94,IT-E7
75961339285,27.6,IT-E7
87927826372,26.96,CH2
72969282455,25.64,CH2
55450537955,21.15,EM3
14249327240,23.48,BF2
68049643166,20.2,ET1
25574214549,24.7,IT-E7
55723536611,25.55,CH2
18923776633,22.74,CH2
82506182840,22.98,IT-E7
84955362827,20.57,IT-E7
96396797609,20.09,EM3
36645118063,26.19,EM3
45558794364,22.06,BF2
54534399572,20.62,ET1
73852240162,28.44,EM3
89171869706,26.77,BF2
25522778013,23.23,EM3
22729195659,28.22,BF2
29499153702,24.3,EM3
50157714310,22.51,IT-E7
18077093377,21.69,EM3
69962054381,29.0,CH2
47784581474,27.36,IT-E7
40890757381,21.86,IT-E7
13738622647,24.17,EM3
58078198522,24.76,CH2
40986299932,27.35,BF2
22952294748,20.2,IT-E7
25090762179,26.34,BF2
62486259480,20.73,IT-E7
21233179537,23.73,IT-E7
99392458783,25.79,BF2
82924152043,23.0,EM3
88084064908,24.75,BF2
47661219738,27.33,BF2
81934121186,27.2,BF2
52553305227,21.07,EM3
73009050994,28.85,BF2
93336570209,26.5,CH2
55199849374,25.58,ET1
75234154054,21.11,IT-E7
62608724631,26.09,IT-E7
55879399718,22.45,BF2
95522038890,24.83,BF2
25232764757,22.42,EM3
73602174281,20.11,ET1
78949167631,29.97,IT-E7
22946498338,25.65,IT-E7
77703947539,29.95,EM3
44086119963,23.29,BF2
12108831451,24.56,IT-E7
62595047013,28.3,EM3
45900484344,20.05,BF2
65058222623,22.94,BF2
73436418887,26.98,EM3
40954484736,29.72,IT-E7
28728065611,22.38,ET1
84868166038,20.54,IT-E7
79163988458,25.1,EM3
62736260951,22.99,CH2
39208722084,23.1,ET1
25873692379,24.31,ET1
57504014582,24.74,CH2
80406580545,21.72,BF2
99721188674,21.39,EM3
96937767195,24.98,ET1
12466698418,22.38,CH2
41078013154,20.2,EM3
99950988073,27.9,ET1
86194417738,20.24,EM3
34620741488,24.05,IT-E7
79918839487,21.34,EM3
47301764750,22.76,CH2
70514404915,27.55,EM3
26069943389,29.51,IT-E7
11644033055,28.86,BF2
78370781238,22.19,EM3
71486968627,28.5,EM3
63288271849,23.9,BF2
79954433675,22.89,IT-E7
89885017904,24.69,BF2
33069301865,25.0,EM3
32475451597,21.4,IT-E7
15167845145,21.97,BF2
86626896901,29.62,ET1
96190670175,29.06,EM3
49757914597,21.41,BF2
64166223337,25.01,ET1
52629606276,24.95,EM3
40617278786,29.94,CH2
84066815324,25.51,EM3
37851712298,21.59,BF2
92635956708,22.75,EM3
81783947318,23.95,IT-E7
52473113848,21.02,BF2
93743865330,26.73,EM3
67628459605,24.17,CH2
41795508678,28.52,IT-E7
37519709032,20.54,IT-E7
55523034500,25.7,CH2
25855095477,20.73,BF2
81448794032,22.41,ET1
79437061834,20.58,BF2
39827512514,22.24,CH2
99128804289,25.63,CH2
96738334426,28.46,CH2
90309985069,27.7,EM3
17370599556,24.49,EM3
61209271084,21.73,ET1
87925163295,22.6,BF2
12799531408,24.69,BF2
17518800374,22.93,IT-E7
69296275494,20.05,CH2
62333731774,27.84,BF2
30157780872,28.44,CH2
82289539906,29.56,IT-E7
40029066897,23.57,IT-E7
37771249995,21.77,IT-E7
52573700430,20.77,IT-E7
61877612925,28.86,ET1
89854929114,24.51,ET1
74656433932,26.91,IT-E7
31597392581,29.8,BF2
57346500394,29.5,CH2
32648431204,20.44,CH2
63317743640,23.84,IT-E7
12794121423,20.52,BF2
17908549329,21.71,ET1
67146437911,27.86,IT-E7
95205967021,29.0,CH2
53197578546,23.07,ET1
49475941466,20.37,EM3
54659420072,28.1,EM3
83625640319,24.3,BF2
14231808150,20.31,CH2
75619786333,26.13,IT-E7
86862695996,23.71,ET1
70477368273,27.98,BF2
84881151403,25.88,CH2
43456659343,26.43,IT-E7
37685994084,25.41,EM3
58944450828,24.08,EM3
18102218834,21.29,ET1
60675070582,22.99,BF2
44761775917,24.74,ET1
75378821701,20.75,EM3
92042819052,21.54,BF2
80736871110,21.96,IT-E7
71946604545,22.37,ET1
63816247414,28.01,ET1
38478653983,20.49,EM3
55969215782,25.63,BF2
71408045920,21.37,ET1
76002834380,26.82,IT-E7
64930221576,28.64,EM3
61960699026,23.88,CH2
86087867989,25.13,BF2
14165269492,21.78,BF2
71511912477,22.02,BF2
27410473104,25.44,CH2
83945416923,28.9,ET1
39884154855,21.67,ET1
98129163107,21.66,EM3
38676286183,25.6,BF2
98138758103,23.02,EM3
92570467934,21.71,ET1
30704226039,22.71,BF2
64736189190,22.86,ET1
67369822630,29.84,BF2
27198069497,28.38,IT-E7
63905428841,26.59,BF2
54030325753,27.53,IT-E7
35019342434,29.82,IT-E7
73293676554,20.69,CH2
22650616452,20.0,ET1
89726378499,21.97,BF2
36101558170,29.41,IT-E7
83631807085,28.28,IT-E7
46382589683,20.81,IT-E7
20376181586,26.36,IT-E7
79722858727,28.92,EM3
68229388756,29.94,IT-E7
96872515804,27.45,EM3
57930159426,22.47,CH2
36208683705,27.36,IT-E7
82557622172,27.05,IT-E7
94074662829,23.72,EM3
31011468340,22.26,ET1
84671681128,20.62,BF2
75604430581,24.29,IT-E7
45790718276,26.4,IT-E7
81876433008,23.41,EM3
23823443662,20.46,EM3
98921168221,25.06,CH2
11491074189,27.68,EM3
79413379202,26.37,ET1
69102446823,23.7,IT-E7
86015232836,24.93,EM3
39795593029,23.36,EM3
80349652987,25.01,BF2
56932130227,20.17,CH2
42227733250,26.13,CH2
94651250595,22.43,BF2
58153883921,29.97,CH2
20236001977,28.27,EM3
48562305790,25.36,ET1
59004335747,24.11,BF2
49788632929,28.73,CH2
86499497982,28.61,BF2
12976118812,22.2,EM3
37220132468,21.65,EM3
35847283243,25.78,IT-E7
74477304820,25.32,CH2
94574504911,20.34,CH2
52716479409,20.3,IT-E7
89340080832,21.02,IT-E7
35021185208,28.26,IT-E7
85128871756,27.83,CH2
55074802174,27.24,CH2
51483388098,21.44,ET1
15882079129,21.24,ET1
32411042918,28.27,EM3
92818024885,28.63,ET1
13976168714,23.98,EM3
38760883407,21.17,EM3
20515584453,22.57,ET1
18255643784,20.98,BF2
24427253977,28.68,IT-E7
82405367421,23.29,BF2
62892548824,28.38,BF2
49470338135,20.62,BF2
65367868589,25.33,BF2
27680393396,28.48,EM3
20904117826,23.21,EM3
23449419735,21.69,IT-E7
95911760887,29.57,BF2
24402600127,22.17,IT-E7
57501208900,27.38,ET1
57302531838,27.17,CH2
26774106278,21.91,IT-E7
18454823328,20.05,BF2
63967033072,22.3,IT-E7
24255957023,23.7,CH2
12693939780,24.61,BF2
79927116111,20.12,CH2
73880175325,22.38,EM3
50625614546,26.68,CH2
87217298072,21.46,BF2
59859268425,29.35,CH2
62607692118,23.11,IT-E7
90937961449,25.38,IT-E7
79164818493,28.82,EM3
63586362630,20.86,IT-E7
10632318510,26.16,ET1
59410644437,28.83,ET1
33540679592,22.11,CH2
43128895204,23.31,EM3
50923971145,29.19,IT-E7
49023223785,25.9,BF2
59168267629,21.22,CH2
48242940127,22.58,IT-E7
85749193728,26.81,BF2
72048525279,21.76,EM3
80378508832,27.61,BF2
43400010955,26.26,EM3
81671922044,23.2,CH2
29656626103,24.09,BF2
28237971845,22.7,CH2
62106861510,21.59,EM3
63353053384,25.6,EM3
73933605955,29.1,BF2
48791766830,27.66,ET1
78796013290,28.37,CH2
47758341933,28.71,IT-E7
29109587236,22.91,CH2
54232792086,21.93,BF2
12839908934,21.57,CH2
93248977015,28.58,EM3
81837334040,25.13,CH2
68571074733,25.26,IT-E7
21393536273,26.64,EM3
15631850357,25.8,ET1
59867820411,23.19,IT-E7
93682170053,29.67,BF2
33269871780,24.87,ET1
22402649964,26.66,CH2
81371576493,22.34,EM3
16184847520,25.53,EM3
72287336598,26.9,EM3
44735230551,27.28,ET1
48935198900,25.73,BF2
59872179832,29.59,BF2
54678736314,28.84,ET1
64344419556,22.98,BF2
84860447359,28.79,ET1
21560767354,26.3,BF2
26573275615,29.87,IT-E7
39010818897,25.55,IT-E7
42752326261,24.38,CH2
60380878101,23.39,CH2
68168066355,26.55,ET1
47354624441,28.14,ET1
19607813053,27.52,IT-E7
45476001107,26.11,CH2
18284632432,22.14,BF2
69532671187,25.4,ET1
73724172730,22.42,ET1
12305098598,25.39,CH2
84326604968,24.21,BF2
27609400364,23.55,ET1
74989597678,26.81,BF2
83113181526,28.6,ET1
37529782830,29.66,EM3
22049974920,23.61,EM3
48036406995,27.14,BF2
48686651614,26.01,BF2
89383883297,26.27,IT-E7
11300620291,24.28,BF2
90648005876,27.39,CH2
57619402964,22.11,EM3
81773918545,27.92,IT-E7
12693440765,25.6,IT-E7
43823684746,21.66,CH2
39504848258,24.24,ET1
74929415464,25.07,IT-E7
51399622315,22.51,CH2
80120560388,26.65,ET1
69312030058,20.81,EM3
13371691925,26.01,BF2
22593088359,29.82,ET1
47778833083,24.28,ET1
32109607485,26.79,EM3
18622984445,25.8,EM3
91832852216,23.13,EM3
10332254755,25.13,CH2
20863223530,23.02,BF2
41098381887,26.67,EM3
80902907754,27.08,EM3
11626281895,26.18,BF2
37291903714,25.74,ET1
21882019461,22.97,CH2
89431742526,29.04,EM3
67696409647,20.32,BF2
23667964694,27.72,IT-E7
69533030131,26.53,ET1
37105543910,23.78,ET1
91696041148,23.71,IT-E7
29910979951,29.58,ET1
57220973039,23.28,EM3
37109772418,24.19,EM3
31007319782,22.39,IT-E7
73470205103,25.52,IT-E7
18921080848,25.19,CH2
13212209665,29.18,IT-E7
19039614337,23.01,ET1
10029693158,24.48,EM3
91849346180,23.04,CH2
15283328244,29.76,ET1
70255938068,24.22,BF2
29122217098,26.26,CH2
85413524501,22.27,IT-E7
58133144973,27.18,BF2
88058116010,20.19,BF2
89104295094,21.97,CH2
52055542668,25.3,IT-E7
47918474353,24.17,ET1
76481874529,22.51,IT-E7
29502622616,29.6,BF2
46962502848,21.35,IT-E7
20817109021,22.57,CH2
79015835937,23.86,CH2
89164317560,28.03,CH2
23973348151,20.74,BF2
15059910772,26.7,EM3
23364932830,24.47,EM3
94219326109,26.56,EM3
19725530045,21.58,BF2
87329991012,25.5,BF2
24191964261,20.43,CH2
59642411399,20.0,CH2
35217578711,26.36,EM3
66756188673,24.11,IT-E7
78608996013,21.66,IT-E7
25951058602,28.32,CH2
32435849269,26.13,IT-E7
16860856815,20.12,CH2
35064827394,29.77,CH2
68838272441,24.0,ET1
57333530755,26.57,CH2
47459222149,21.71,BF2
30036371248,27.54,BF2
55838611295,28.87,ET1
39739100947,21.99,IT-E7
31781836405,28.31,CH2
23249750869,22.5,ET1
15027134628,27.53,EM3
92060909628,27.37,CH2
95573167155,29.46,BF2
75773531844,21.06,IT-E7
13776346714,22.74,IT-E7
62560348137,28.76,BF2
23019361778,24.36,EM3
24093782446,27.29,BF2
70027624794,28.23,ET1
95661677360,27.11,EM3
20449981038,23.57,BF2
11169705257,23.72,BF2
42447955621,26.93,EM3
89986949968,27.88,EM3
69544643505,27.12,EM3
39379126901,28.42,EM3
51150409906,27.35,BF2
16718710354,20.61,CH2
46601288732,21.18,ET1
24896222110,26.7,ET1
85751101613,29.45,BF2
47976967938,25.54,ET1
50137344185,25.32,EM3
81967416417,20.04,CH2
22609340347,24.28,ET1
96381320738,23.97,BF2
20686251029,24.82,EM3
10464887463,26.31,IT-E7
61917642745,27.18,ET1
60832701347,24.8,BF2
14445524074,22.56,CH2
31593830219,25.63,CH2
29452991382,25.86,EM3
42900884808,29.61,BF2
22628592919,20.67,IT-E7
21626889696,26.12,IT-E7
84060170708,20.74,BF2
97416077792,27.87,EM3
38214453623,28.49,BF2
49099254932,24.47,CH2
48336322292,27.74,IT-E7
52019215215,21.61,ET1
51571858907,28.69,CH2
98106009856,21.05,CH2
